coefficient_name,share,target,error,error_pct
coef_walk_transit_ASC_walk_escort,0.006607929515418502,0,0.006607929515418502,0.006607929515418502
coef_walk_transit_ASC_walk_transit_escort,0.7599118942731278,0.36982827037827,0.3900836238948578,1.0547696191420686
coef_bike_ASC_bike_othdiscr,0.996962332928311,0.946394651972985,0.050567680955326044,0.05343191748802222
coef_bike_ASC_sov_othdiscr,0,0.02385369139117581,-0.02385369139117581,-1
coef_bike_ASC_sr3p_othdiscr,0,0.02975165663583915,-0.02975165663583915,-1
coef_bike_ASC_walk_othdiscr,0.003037667071688943,0,0.003037667071688943,0.003037667071688943
coef_drive_transit_ASC_drive_transit_othdiscr,1,0.5,0.5,1
coef_drive_transit_ASC_walk_transit_othdiscr,0,0.5,-0.5,-1
coef_sov_ASC_sov_othdiscr,0.9739213052452249,0.9922019867273169,-0.018280681482091943,-0.018424354845719488
coef_sov_ASC_walk_othdiscr,0.02607869475477509,0.00779801327268317,0.01828068148209192,2.3442742199644697
coef_sr2_ASC_sov_othdiscr,0.04204081632653061,0.12188689264584245,-0.07984607631931184,-0.6550833693932503
coef_sr2_ASC_sr2_othdiscr,0.9053333333333333,0.8493400910825532,0.05599324225078017,0.06592558486131536
coef_sr2_ASC_sr3p_othdiscr,0.034585034013605444,0,0.034585034013605444,0.034585034013605444
coef_sr2_ASC_taxi_othdiscr,0.0013061224489795918,0,0.0013061224489795918,0.0013061224489795918
coef_sr2_ASC_tnc_shared_othdiscr,0.002503401360544218,0,0.002503401360544218,0.002503401360544218
coef_sr2_ASC_tnc_single_othdiscr,0.004571428571428572,0,0.004571428571428572,0.004571428571428572
coef_sr2_ASC_walk_othdiscr,0.009659863945578231,0.02877301627160451,-0.01911315232602628,-0.6642735035356252
coef_sr3p_ASC_sov_othdiscr,0.020678587803759745,0.06613166481185861,-0.04545307700809887,-0.6873118518550936
coef_sr3p_ASC_sr2_othdiscr,0.043695552498853735,0.07609480124332454,-0.03239924874447081,-0.4257747995276228
coef_sr3p_ASC_sr3p_othdiscr,0.9098120128381476,0.8488126603371455,0.06099935250100208,0.07186432925820563
coef_sr3p_ASC_taxi_othdiscr,0.002567629527739569,0,0.002567629527739569,0.002567629527739569
