ZONE,FID,ContourEle,ElevationR,SHAPE_Leng,SHAPE_Area
1,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
2,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
3,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
4,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
5,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
6,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
7,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
8,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
9,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
9,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
10,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
10,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
11,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
11,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
12,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
13,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
14,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
15,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
16,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
17,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
18,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
19,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
20,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
21,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
22,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
23,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
24,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
25,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
26,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
27,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
28,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
29,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
30,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
31,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
32,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
33,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
34,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
35,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
36,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
37,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
38,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
38,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
39,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
39,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
39,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
40,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
41,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
41,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
42,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
43,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
44,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
44,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
45,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
45,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
46,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
47,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
48,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
48,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
49,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
49,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
50,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
51,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
51,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
51,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
51,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
52,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
52,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
53,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
53,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
54,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
55,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
56,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
56,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
56,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
56,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
56,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
57,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
58,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
59,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
60,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
61,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
62,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
63,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
64,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
64,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
65,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
66,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
66,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
67,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
68,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
69,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
69,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
70,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
71,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
71,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
72,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
73,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
74,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
75,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
76,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
77,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
78,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
78,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
79,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
79,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
79,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
80,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
81,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
82,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
83,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
84,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
85,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
86,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
87,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
88,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
89,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
89,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
89,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
90,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
90,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
90,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
91,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
91,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
91,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
92,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
92,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
92,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
93,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
93,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
94,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
95,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
96,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
97,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
97,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
97,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
98,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
99,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
100,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
101,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
101,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
101,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
102,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
103,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
104,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
105,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
106,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
107,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
108,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
108,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
108,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
109,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
110,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
111,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
112,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
112,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
112,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
113,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
114,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
115,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
115,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
115,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
116,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
117,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
118,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
118,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
119,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
120,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
121,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
121,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
121,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
122,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
123,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
123,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
123,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
123,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
124,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
125,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
125,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
125,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
126,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
127,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
127,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
127,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
128,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
128,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
128,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
129,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
130,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
131,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
132,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
133,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
134,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
135,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
136,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
137,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
138,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
139,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
140,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
140,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
140,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
141,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
141,560,4600,"4,400 - 4,600",0.038659721,0.000115787
142,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
143,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
144,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
145,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
146,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
147,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
148,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
149,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
150,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
151,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
152,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
153,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
154,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
155,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
156,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
157,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
158,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
159,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
160,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
161,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
162,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
163,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
164,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
165,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
166,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
167,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
168,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
169,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
170,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
171,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
172,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
173,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
174,5861,5800,"5,600 - 5,800",105.5489338,0.552891925
174,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
174,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
174,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
175,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
175,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
175,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
176,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
176,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
176,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
176,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
177,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
178,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
178,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
179,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
179,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
180,5861,5800,"5,600 - 5,800",105.5489338,0.552891925
180,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
180,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
180,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
180,5821,6000,"5,800 - 6,000",100.2620937,0.465002796
181,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
181,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
181,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
181,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
182,5861,5800,"5,600 - 5,800",105.5489338,0.552891925
182,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
182,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
182,5821,6000,"5,800 - 6,000",100.2620937,0.465002796
182,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
183,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
183,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
183,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
183,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
184,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
184,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
184,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
184,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
184,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
185,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
185,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
186,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
186,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
187,5861,5800,"5,600 - 5,800",105.5489338,0.552891925
187,5810,6200,"6,000 - 6,200",102.0527434,0.414236485
187,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
187,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
187,5821,6000,"5,800 - 6,000",100.2620937,0.465002796
187,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
187,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
187,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
188,5861,5800,"5,600 - 5,800",105.5489338,0.552891925
188,5810,6200,"6,000 - 6,200",102.0527434,0.414236485
188,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
188,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
188,5821,6000,"5,800 - 6,000",100.2620937,0.465002796
188,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
188,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
189,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
189,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
189,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
190,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
190,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
191,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
191,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
192,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
192,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
192,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
192,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
193,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
194,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
195,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
196,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
196,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
197,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
198,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
198,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
199,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
200,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
201,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
202,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
203,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
203,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
203,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
203,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
204,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
204,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
205,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
206,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
206,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
207,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
207,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
208,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
208,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
208,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
208,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
209,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
210,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
210,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
211,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
212,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
213,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
214,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
215,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
216,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
217,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
218,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
219,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
220,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
220,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
221,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
221,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
222,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
222,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
223,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
223,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
223,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
224,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
224,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
225,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
225,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
225,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
226,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
227,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
227,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
228,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
228,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
229,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
230,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
230,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
230,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
231,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
231,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
231,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
232,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
233,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
234,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
235,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
236,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
237,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
238,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
239,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
240,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
241,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
242,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
243,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
244,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
245,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
246,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
247,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
248,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
249,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
250,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
251,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
252,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
253,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
254,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
255,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
256,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
257,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
258,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
259,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
260,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
261,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
261,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
262,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
263,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
264,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
264,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
265,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
266,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
267,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
268,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
269,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
270,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
271,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
272,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
273,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
274,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
275,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
276,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
277,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
278,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
279,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
279,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
280,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
280,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
281,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
281,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
282,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
282,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
283,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
283,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
284,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
285,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
286,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
287,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
288,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
289,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
290,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
291,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
291,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
292,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
292,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
293,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
294,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
295,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
296,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
297,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
298,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
299,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
299,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
300,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
300,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
301,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
302,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
