ZONE,FID,ContourEle,ElevationR,SHAPE_Leng,SHAPE_Area
804,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
805,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
806,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
807,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
808,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
809,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
810,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
811,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
812,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
813,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
814,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
815,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
816,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
817,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
818,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
819,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
820,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
821,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
822,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
823,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
824,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
825,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
826,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
827,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
828,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
829,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
830,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
831,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
832,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
833,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
834,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
835,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
836,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
837,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
838,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
839,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
840,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
841,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
842,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
843,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
844,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
845,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
846,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
847,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
848,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
849,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
849,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
850,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
850,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
851,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
851,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
852,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
853,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
854,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
855,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
856,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
857,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
857,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
858,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
859,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
860,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
861,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
862,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
863,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
864,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
865,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
866,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
867,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
868,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
869,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
870,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
871,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
872,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
873,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
874,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
875,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
876,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
877,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
878,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
878,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
879,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
879,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
880,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
881,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
882,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
883,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
883,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
884,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
885,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
885,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
886,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
886,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
887,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
887,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
888,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
888,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
889,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
890,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
890,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
891,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
892,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
