Index,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
8,30008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55022,0,0,0,3,BOX ELDER
9,30009,12.1,48.2,3.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0.7,55022,0,0,0,3,BOX ELDER
10,30010,55.7,163.9,2.94,14.6,2,0,0.2,0.1,0,0.1,1.7,6.6,0,0,0.5,3.3,57798,0,0,0,3,BOX ELDER
11,30011,37.5,120.3,3.21,9.4,0.1,0.1,0.4,1.5,3.3,0.2,0.9,0.2,0,0,0.5,2.2,57798,0,0,0,3,BOX ELDER
12,30012,6.1,11.5,1.88,55.2,3.7,0,2.4,30.4,0,0,0,6.1,0,0,12.2,0.4,57798,0,0,0,3,BOX ELDER
13,30013,159,512,3.22,89,4.8,3.5,2.2,2.3,0.4,33.6,0.6,1.5,0,0,30.9,9.3,57798,0,0,0,3,BOX ELDER
14,30014,6.1,12.5,2.04,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,54617,0,0,0,3,BOX ELDER
15,30015,6.5,14.3,2.21,5.5,0,0,0,0,0,0,0,0,0,0,5.1,0.4,58870,0,0,0,3,BOX ELDER
16,30016,17,65,3.82,5.1,0,0,0,1.3,0,0,0,0,0,0,2.8,1,58870,0,0,0,3,BOX ELDER
17,30017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
18,30018,7.6,21.6,2.85,3.7,0,0,0,0,0,0,0,0,0,0,3.3,0.4,58870,0,0,0,3,BOX ELDER
19,30019,0,0,0,8.2,0,0,0,0,0,8.2,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
20,30020,0,0,0,94.1,22.8,35.9,5.5,13.6,0.9,6.8,1.5,3.8,0,0,3.3,0,58870,0,0,0,3,BOX ELDER
21,30021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
22,30022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
23,30023,0,0,0,9.2,0,0,0,0,0,2.7,0,6.5,0,0,0,0,53211,0,0,0,3,BOX ELDER
24,30024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53211,0,0,0,3,BOX ELDER
25,30025,0,0,0,683.7,9.4,5,539.6,78,4,11.9,6.5,18.6,0,0,10.8,0,58870,0,0,0,3,BOX ELDER
26,30026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
27,30027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
28,30028,6.1,11.5,1.88,23.3,0.6,0.3,1.5,0.7,0.3,0.8,0.4,5.3,0,0,13.1,0.4,58870,0,0,0,3,BOX ELDER
29,30029,6.1,11.5,1.88,287.8,6.3,3.4,195.9,31.8,2.7,8,4.4,15.3,0,0,19.7,0.4,57798,0,0,0,3,BOX ELDER
30,30030,12.2,23,1.88,118.1,11.7,2.1,41.1,15.4,1.7,5.1,2.8,7,0,0,30.4,0.7,57798,0,0,0,3,BOX ELDER
31,30031,20.4,51.5,2.53,140.1,13.2,2.4,45,7.7,1.9,5.6,3.1,10,0,0,50.1,1.2,58870,0,0,0,3,BOX ELDER
32,30032,1.5,2.9,1.88,2234.2,0,0,1484,0,698.3,45.4,1.6,4.3,0,0,0.5,0.1,58870,0,0,0,3,BOX ELDER
33,30033,119.3,492.6,4.13,47.2,0.7,0.4,1.7,0.7,0.3,3.5,1.3,5.5,0,0,26.2,7,57798,0,0,0,3,BOX ELDER
34,30034,295.6,860.5,2.91,206.3,2.6,0.4,1.7,20.2,0.3,96,31.6,26.9,0,0,9.4,17.3,47905,462,0,0,3,BOX ELDER
35,30035,166.8,516.5,3.1,37.4,0.1,0,0.2,0.1,0,0.1,0.1,2.3,0,0,24.8,9.7,58870,0,0,0,3,BOX ELDER
36,30036,316.4,811.1,2.56,76.9,3,0,1.3,2.8,6.7,1.4,17.5,25.6,0,0,0,18.5,32172,0,0,21,3,BOX ELDER
37,30037,63.6,200.7,3.15,140.9,7,1.1,5.3,2.3,1.4,2.6,2.2,102.1,0,0,13.1,3.7,57626,0,0,0,3,BOX ELDER
38,30038,338.6,870.6,2.57,248.1,21.2,8.3,1.7,16.1,21.6,58.5,26,74,0,0,0.9,19.8,40255,0,0,0,3,BOX ELDER
39,30039,108.5,262.4,2.42,211.4,57.2,1.6,7.5,30.8,7.4,3.8,2.8,28.5,0,0,65.5,6.3,68477,0,0,0,3,BOX ELDER
40,30040,175.6,393.6,2.24,207.9,18,0.2,0.9,6,0.2,44.8,60.3,56.4,0,0,10.8,10.3,40901,469,0,0,3,BOX ELDER
41,30041,137,422,3.08,15.9,0,0,0.1,1.4,0,0,0,6.4,0,0,0,8,42920,0,0,0,3,BOX ELDER
42,30042,199.1,553.8,2.78,173.9,2.9,15.8,85.1,0,3.4,0,0,49.4,0,0,5.6,11.6,33991,0,0,0,3,BOX ELDER
43,30043,165.2,460.1,2.79,18.1,0.1,0.1,0.3,5.5,0.1,0.2,0.1,2.3,0,0,0,9.6,33659,0,0,0,3,BOX ELDER
44,30044,115.8,297.7,2.57,333,131.6,5.4,25.5,13.8,8.8,12.7,23,92.8,0,0,12.6,6.8,30165,0,0,0,3,BOX ELDER
45,30045,63.5,188.3,2.97,13.5,1.2,0.1,1.7,0.2,0.1,0.2,1.7,4.6,0,0,0,3.7,30165,0,0,0,3,BOX ELDER
46,30046,196.3,543.1,2.77,784.1,85.7,22.5,16.7,13.9,25.3,282.1,47.4,277.7,0,0,1.4,11.5,43652,0,0,0,3,BOX ELDER
47,30047,168.2,452.7,2.69,153.2,1.5,0.3,1.4,0.6,0.8,132.6,0.4,5.3,0,0,0.5,9.8,43652,509,173,263,3,BOX ELDER
48,30048,96.7,306.5,3.17,7.3,1.1,0,0.2,0.1,0,0.1,0.1,0.1,0,0,0,5.6,68477,0,0,0,3,BOX ELDER
49,30049,270,750.7,2.78,19.3,1,0,0,0,1.1,1.3,0,0,0,0,0,15.8,36440,0,0,0,3,BOX ELDER
50,30050,85.6,232.7,2.72,9.3,0,0,0,0,0,0,0,4.3,0,0,0,5,68477,0,0,0,3,BOX ELDER
51,30051,72.3,186.3,2.57,46,0,0,0,0,0.6,0,0,4.3,0,0,37,4.2,68477,0,0,0,3,BOX ELDER
52,30052,150.1,388.2,2.59,62.2,0.4,0.2,0.9,1.8,0.7,15.2,26.7,7.1,0,0,0.5,8.8,36440,0,0,0,3,BOX ELDER
53,30053,154,522.7,3.39,35.7,0,0,0,1.4,2.2,0,3.2,2.1,0,0,17.8,9,60482,0,0,0,3,BOX ELDER
54,30054,97.6,280.8,2.88,13,1.4,0.2,1,0.4,0.2,0.5,0.3,2.8,0,0,0.5,5.7,59889,0,0,0,3,BOX ELDER
55,30055,41.3,107.7,2.61,7.2,0.1,0,0.1,0.1,0,0.1,0,4.4,0,0,0,2.4,59889,0,0,0,3,BOX ELDER
56,30056,82.6,274.5,3.32,44.6,2,1,23.7,2.2,0.8,2.5,1.4,3.4,0,0,2.8,4.8,59889,0,0,0,3,BOX ELDER
57,30057,0,0,0,9,0.5,0.3,1.2,0.5,0.2,2,0.3,3,0,0,0.9,0,58870,0,0,0,3,BOX ELDER
