;TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
2604,492604,298.333333333,955.855446986,3.2039847385,138.686149891,0.0,0.0,0.0,0.0,0.333333333333,54.3333333333,0.333333333333,53.0,0.0,0.0,3.66578790014,27.0203619909,44331,0.0,867.0,289.0,49,UTAH
2605,492605,173.333333333,650.663725308,3.75382918447,23.3436419865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33157562154,16.012066365,88879,0.0,0.0,0.0,49,UTAH
2606,492606,234.333333333,866.312965707,3.69692588495,32.0144301166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6648826053,21.3495475113,86418,0.0,0.0,0.0,49,UTAH
2607,492607,155.0,502.249602001,3.24032001291,52.0105580694,2.0,0.0,0.0,0.0,7.66666666667,18.6666666667,0.0,9.66666666667,0.0,0.0,0.0,14.0105580694,28218,644.0,0.0,0.0,49,UTAH
2608,492608,244.666666667,758.79705344,3.10135035466,865.3500621,144.666666667,152.666666667,6.33333333333,0.0,33.0,26.6666666667,91.3333333333,384.0,0.0,0.0,4.33309377423,22.3503016591,28218,0.0,0.0,0.0,49,UTAH
2609,492609,260.333333333,828.807785362,3.1836406608,412.015593777,0.333333333333,0.333333333333,12.6666666667,1.0,142.0,108.0,17.6666666667,76.0,1.00377974292,0.0,28.9937144862,24.0180995475,52582,0.0,0.0,0.0,49,UTAH
2610,492610,56.0,216.271074305,3.86198346973,272.336349925,0.0,0.0,0.0,0.0,1.33333333333,258.333333333,0.0,8.0,0.0,0.0,0.0,4.66968325792,52582,0.0,0.0,1275.0,49,UTAH
2611,492611,209.333333333,687.845478773,3.28588604509,526.347156265,92.0,13.3333333333,1.0,12.0,40.0,47.3333333333,20.6666666667,276.333333333,0.0,0.0,4.66616079029,19.0143288085,52582,0.0,0.0,0.0,49,UTAH
2612,492612,305.333333333,1170.88211303,3.83476674572,156.023514019,0.0,0.0,100.0,0.333333333333,0.0,25.3333333333,0.0,1.0,0.669384086643,0.0,0.666347126803,28.0211161387,67351,0.0,0.0,0.0,49,UTAH
2613,492613,316.333333333,1219.2059822,3.85418118713,76.6919746586,0.0,0.333333333333,0.0,0.333333333333,0.666666666667,38.6666666667,0.0,2.33333333333,1.00377974292,0.0,4.33261422185,29.0222473605,67351,841.0,0.0,0.0,49,UTAH
2614,492614,313.666666667,1007.90852353,3.21331091454,413.344365908,0.333333333333,0.333333333333,1.33333333333,1.66666666667,16.0,30.0,278.333333333,33.3333333333,0.0,0.0,22.9891622879,29.0218702866,48660,0.0,0.0,0.0,49,UTAH
2615,492615,157.666666667,519.595839953,3.29553386862,1275.67760181,4.66666666667,83.6666666667,0.0,3.0,9.33333333333,700.666666667,24.0,436.0,0.0,0.0,0.0,14.3442684766,49073,0.0,0.0,0.0,49,UTAH
