tazid,tothh,resacre,ciacre,totemp,cbd
368,836,274,48,498,0
369,874,290,32,327,0
370,230,290,32,84,0
371,51,81,33,65,0
372,265,109,3,23,0
373,91,26,134,1413,0
374,373,136,18,156,0
375,392,150,10,86,0
376,183,41,119,1596,0
377,35,62,98,179,0
378,311,150,10,66,0
379,460,155,8,82,0
380,583,138,29,380,0
381,315,109,3,27,0
382,452,84,47,743,0
383,609,147,21,272,0
384,590,162,5,52,0
385,500,159,4,40,0
386,525,140,25,272,0
387,429,135,28,267,0
388,456,150,36,369,0
389,494,112,20,250,0
390,214,126,24,138,0
391,547,276,44,298,0
392,510,235,86,559,0
393,256,227,89,324,0
394,693,433,177,947,0
395,326,153,7,51,0
396,581,131,29,399,0
397,880,302,15,145,0
398,146,179,143,333,0
399,1496,556,85,761,0
400,131,39,1316,9934,0
401,513,139,50,533,0
402,266,50,27,363,0
403,741,107,159,3075,0
404,916,151,74,1087,0
405,547,118,142,1729,0
406,0,0,161,62,0
407,0,0,314,256,0
408,0,0,136,17,0
409,0,0,3818,1,0
410,232,284,111,210,0
411,0,0,1178,21281,0
412,420,1081,257,319,0
413,565,487,32,126,0
414,518,435,177,642,0
415,390,584,169,370,0
416,10,44,181,133,0
417,0,0,112,108,0
418,763,400,19,118,0
419,920,432,33,226,0
420,55,224,28,23,0
421,647,254,63,557,0
422,697,267,61,569,0
423,987,197,93,1654,0
424,1337,450,56,594,0
425,280,294,20,67,0
426,300,247,78,328,0
427,1425,303,44,601,0
428,1110,135,238,4677,0
429,1,1757,0,0,0
430,359,480,127,321,0
431,209,338,126,284,0
432,286,394,88,225,0
433,268,185,191,932,0
434,543,245,10,89,0
435,352,88,314,3802,0
436,784,121,224,3634,0
437,395,201,36,231,0
438,1088,248,38,513,0
439,865,1038,101,320,0
440,479,353,37,183,0
441,24,13,257,1614,0
442,394,297,123,647,0
443,659,593,64,281,0
444,1464,258,50,713,0
445,1181,132,211,4768,0
446,872,66,280,8945,0
447,1332,363,87,864,0
448,429,345,234,932,0
449,1719,406,73,937,0
450,147,171,20,54,0
451,702,351,22,151,0
452,906,438,26,172,0
453,977,516,36,207,0
454,1381,546,134,1073,0
455,268,335,35,88,0
456,376,300,60,233,0
457,572,176,39,340,0
458,264,79,127,1201,0
459,138,45,28,225,0
460,1428,245,40,665,0
461,1384,691,145,878,0
462,1442,384,50,594,0
463,1010,720,139,612,0
464,790,208,216,2414,0
465,1056,593,72,401,0
466,528,373,11,51,0
467,618,189,47,432,0
468,585,175,81,764,0
469,517,239,30,215,0
470,377,129,172,1699,0
471,549,290,90,546,0
472,863,764,85,319,0
473,824,417,39,263,0
474,1018,413,24,230,0
475,493,257,102,609,0
476,873,262,14,145,0
477,646,282,79,591,0
478,467,324,29,136,0
479,53,68,111,291,0
480,285,237,10,42,0
481,7,1,195,4469,0
482,0,0,179,2915,0
483,396,478,30,84,0
484,202,222,275,828,0
485,3,385,0,0,0
486,305,54,163,2676,0
487,211,58,140,1496,0
488,218,91,27,205,0
489,405,191,6,45,0
490,358,182,5,37,0
491,5,292,69,5,0
492,25,214,92,37,0
493,15,84,455,265,0
494,570,330,13,80,0
495,409,195,20,147,0
496,349,198,10,67,0
497,435,198,6,47,0
498,413,173,13,101,0
499,509,191,18,156,0
500,33,260,19,7,0
501,266,57,97,1297,0
502,0,0,122,621,0
503,3,189,94,4,0
504,572,386,18,89,0
505,247,43,66,1131,0
506,550,72,43,923,0
507,270,106,2,20,0
508,90,15,107,1762,0
509,560,66,61,1532,0
510,286,90,38,305,0
511,242,78,17,139,0
512,374,93,4,48,0
513,271,72,25,232,0
514,824,387,32,216,0
515,3,50,389,62,0
516,95,253,151,177,0
517,334,264,19,72,0
518,491,217,29,209,0
519,68,143,373,481,0
520,166,171,179,429,0
521,766,172,63,717,0
522,623,110,85,1300,0
523,603,147,49,563,0
524,0,0,91,2727,0
525,671,97,50,831,0
526,349,37,70,1703,0
527,559,70,110,2160,0
528,724,260,7,60,0
529,381,259,6,28,0
530,384,26,148,6414,0
531,569,238,21,160,0
532,422,321,31,136,0
533,0,0,1530,2,0
534,1354,531,98,733,0
535,282,316,79,243,0
536,1,0,170,866,0
537,830,309,65,587,0
538,342,177,35,216,0
539,295,65,51,674,0
540,344,204,89,443,0
541,286,100,17,155,0
542,316,40,216,3959,0
543,1044,142,136,2481,0
544,535,97,36,532,0
545,526,138,18,183,0
546,787,261,49,414,0
547,629,304,28,172,0
548,851,177,116,1493,0
549,526,152,16,183,0
550,525,68,59,1313,0
551,507,196,14,105,0
552,969,288,6,66,0
553,733,355,31,194,0
554,338,256,28,120,0
555,438,360,10,43,0
556,0,0,314,4,0
557,1647,226,245,4875,0
558,99,89,168,498,0
559,0,0,413,5562,0
560,139,55,441,2509,0
561,0,0,334,671,0
562,0,0,640,89,0
563,986,177,102,1504,0
564,402,112,28,292,0
565,437,94,15,206,0
566,1479,576,55,452,0
567,460,174,8,74,0
568,879,311,58,455,0
569,1483,483,100,945,0
570,685,858,57,155,0
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,531,8,0
574,0,0,0,0,0
575,0,0,1009,127,0
576,0,0,302,11,0
577,0,0,903,43,0
578,0,0,933,714,0
579,0,0,523,85,0
580,0,0,403,5,0
581,0,0,523,1,0
582,0,0,394,94,0
583,0,0,554,23,0
584,0,0,820,5333,0
585,0,0,833,12554,0
586,0,0,0,0,0
587,0,0,0,0,0
588,0,0,0,0,0
589,0,0,0,0,0
590,0,0,0,0,0
591,0,0,445,309,0
592,0,0,264,284,0
593,0,0,220,199,0
594,0,0,349,767,0
595,0,0,0,0,0
596,0,0,689,131,0
597,1,2,616,230,0
598,0,0,0,0,0
599,1,502,0,0,0
600,9,35,275,102,0
601,1,0,239,319,0
602,0,0,569,120,0
603,0,0,582,172,0
604,0,0,0,0,0
605,2,13,197,71,0
606,0,0,0,0,0
607,399,229,71,341,0
608,1320,255,59,871,0
609,880,269,21,206,0
610,725,142,18,327,0
611,274,159,21,117,0
612,5,164,32,3,0
613,368,204,14,84,0
614,251,102,36,290,0
615,596,231,6,59,0
616,755,118,41,786,0
617,963,298,23,252,0
618,54,83,446,887,0
619,351,180,39,256,0
620,481,212,20,172,0
621,962,308,12,136,0
622,683,231,19,230,0
623,10,117,336,83,0
624,2,540,0,0,0
625,210,25,63,1729,0
626,548,171,16,205,0
627,439,116,16,241,0
628,323,89,2,32,0
629,453,200,8,71,0
630,39,154,100,77,0
631,649,273,42,368,0
632,517,147,4,51,0
633,524,171,4,51,0
634,979,349,37,381,0
635,767,232,12,165,0
636,0,0,0,0,0
637,205,94,7,66,0
638,1,518,0,0,0
639,0,0,531,721,0
640,0,0,569,1172,0
641,0,0,988,4,0
642,80,514,694,347,0
643,224,466,16,27,0
644,0,0,468,716,0
645,0,0,327,804,0
646,0,0,2327,2517,0
647,0,0,2036,11410,0
648,0,0,0,0,0
