tazid,tothh,resacre,ciacre,totemp,cbd
245,33,93.598191168,13.64959653,326,0
246,234,167.72755792,40.255385779,533,0
247,83,26.42356708,108.903699648,1030,0
248,42,137.586085013,41.468445915,250,0
249,79,182.429330764,102.715964095,755,0
250,48,113.82235565799999,4.4506354429999995,9,0
251,87,148.687354916,26.725950412,17,0
252,100,193.743258143,11.995086578,12,0
253,20,61.578237719,30.57365619,2,0
254,137,156.529454165,17.5283264,50,0
255,73,146.156241559,9.031694568999999,96,0
256,231,361.998703285,11.847303575,126,0
257,199,291.471515066,20.280270533,72,0
258,281,236.972903424,12.389251764,70,0
259,55,164.608560722,9.648254289,78,0
260,13,4.272479081,251.285616331,3118,0
261,29,43.800222629,164.502586143,1408,0
262,9,2.792461097,41.418222872,669,0
263,0,0,66.34969104,627,0
264,7,8.245201608,114.73136795399999,4312,0
265,128,242.889732162,0,126,0
266,56,131.146824112,8.037674873,29,0
267,317,622.393406489,21.163369141,55,0
268,480,634.5736339265,64.449495675,247,0
269,226,523.483382296,0,94,0
270,439,527.542557872,19.342880024,107,0
271,335,480.363502551,43.673939331,244,0
272,452,311.9543017324,11.262786484,61,0
273,218,212.690608201632,8.65971425,194,0
274,288,331.962657029,39.139645618,57,0
275,404,221.87996730775,3.158920174,114,0
276,1120,502.013605322,20.387512182000002,485,0
277,251,244.240469058,0.316981494,24,0
278,479,89.32227603,18.325803738,476,0
279,1036,262.75916902,14.339455932,208,0
280,1074,294.773750642,27.646480125,725,0
281,824,167.834030749,3.743408103,186,0
282,498,130.136155929,34.969116944,1410,0
283,386,92.487297963,0,112,0
284,447,119.289238193,1.342911654,438,0
285,770,351.115861522,9.947660545,229,0
286,1235,281.070084256,7.207113999000001,137,0
287,306,107.574585463,11.608568815,338,0
288,800,247.310169028,8.692956718,247,0
289,709,161.634986343,0,48,0
290,454,177.801133994,8.390730277,342,0
291,461,130.566667959,6.511160155,226,0
292,485,178.881409607,2.620224087,547,0
293,578,131.943171377,0,39,0
294,513,102.107600063,4.383982001,433,0
295,341,50.658363679,12.690269272,367,0
296,657,154.605233027,7.279013309000001,169,0
297,256,75.310939404,59.378753677,1891,0
298,405,139.518876313,19.227054527,405,0
299,557,135.695812842,4.4560300129999995,44,0
300,505,116.554643143,1.068481384,34,0
301,352,85.13059422,7.152135284,224,0
302,347,91.291273538,49.887886503,1068,0
303,45,64.556695756,149.001075718,1135,0
304,8,1.279359158,67.211640552,264,0
305,271,62.727427776,20.844063961,328,0
306,89,58.969200097,124.476758435,2946,0
307,310,293.376755101,69.18997010300001,1591,0
308,386,74.174273911,14.811925046,256,0
309,375,66.891850132,15.235767648,272,0
310,287,59.686565564,13.322707308,67,0
311,391,57.221537915,1.28485787,243,0
312,910,130.654350153,8.141902689,711,0
313,2,1.107161775,43.149286225,140,0
314,10,8.404819342,41.603721426999996,234,0
315,397,84.137121543,41.48426647,2741,0
316,0,0,26.261416963,76,0
317,0,0,41.628964164,176,0
318,0,0.02966944,24.584243308,304,0
