model,tourType,variable,alternative,units,latentClass,value
modeChoice,Path,vehicleTime,walk_transit,util/min,social,-0.036
modeChoice,Path,vehicleTime,walk_transit,util/min,othdiscr,-0.036
modeChoice,Path,vehicleTime,walk_transit,util/min,atwork,-0.038
modeChoice,Path,waitTime,bike,util/min,work,
modeChoice,Path,waitTime,bike,util/min,univ,
modeChoice,Path,waitTime,bike,util/min,school,
modeChoice,Path,waitTime,bike,util/min,escort,
modeChoice,Path,waitTime,bike,util/min,shopping,
modeChoice,Path,waitTime,bike,util/min,eatout,
modeChoice,Path,waitTime,bike,util/min,othmaint,
modeChoice,Path,waitTime,bike,util/min,social,
modeChoice,Path,waitTime,bike,util/min,othdiscr,
modeChoice,Path,waitTime,bike,util/min,atwork,
modeChoice,Path,waitTime,bike_transit,util/min,work,-0.054
modeChoice,Path,waitTime,bike_transit,util/min,univ,-0.09
modeChoice,Path,waitTime,bike_transit,util/min,school,-0.09
modeChoice,Path,waitTime,bike_transit,util/min,escort,-0.07
modeChoice,Path,waitTime,bike_transit,util/min,shopping,-0.07
modeChoice,Path,waitTime,bike_transit,util/min,eatout,-0.07
modeChoice,Path,waitTime,bike_transit,util/min,othmaint,-0.07
modeChoice,Path,waitTime,bike_transit,util/min,social,-0.07
modeChoice,Path,waitTime,bike_transit,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,bike_transit,util/min,atwork,-0.076
modeChoice,Path,waitTime,car,util/min,work,
modeChoice,Path,waitTime,car,util/min,univ,
modeChoice,Path,waitTime,car,util/min,school,
modeChoice,Path,waitTime,car,util/min,escort,
modeChoice,Path,waitTime,car,util/min,shopping,
modeChoice,Path,waitTime,car,util/min,eatout,
modeChoice,Path,waitTime,car,util/min,othmaint,
modeChoice,Path,waitTime,car,util/min,social,
modeChoice,Path,waitTime,car,util/min,othdiscr,
modeChoice,Path,waitTime,car,util/min,atwork,
modeChoice,Path,waitTime,drive_transit,util/min,work,-0.054
modeChoice,Path,waitTime,drive_transit,util/min,univ,-0.09
modeChoice,Path,waitTime,drive_transit,util/min,school,-0.09
modeChoice,Path,waitTime,drive_transit,util/min,escort,-0.07
modeChoice,Path,waitTime,drive_transit,util/min,shopping,-0.07
modeChoice,Path,waitTime,drive_transit,util/min,eatout,-0.07
modeChoice,Path,waitTime,drive_transit,util/min,othmaint,-0.07
modeChoice,Path,waitTime,drive_transit,util/min,social,-0.07
modeChoice,Path,waitTime,drive_transit,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,drive_transit,util/min,atwork,-0.076
modeChoice,Path,waitTime,hov2,util/min,work,
modeChoice,Path,waitTime,hov2,util/min,univ,
modeChoice,Path,waitTime,hov2,util/min,school,
modeChoice,Path,waitTime,hov2,util/min,escort,
modeChoice,Path,waitTime,hov2,util/min,shopping,
modeChoice,Path,waitTime,hov2,util/min,eatout,
modeChoice,Path,waitTime,hov2,util/min,othmaint,
modeChoice,Path,waitTime,hov2,util/min,social,
modeChoice,Path,waitTime,hov2,util/min,othdiscr,
modeChoice,Path,waitTime,hov2,util/min,atwork,
modeChoice,Path,waitTime,hov2_teleportation,util/min,work,
modeChoice,Path,waitTime,hov2_teleportation,util/min,univ,
modeChoice,Path,waitTime,hov2_teleportation,util/min,school,
modeChoice,Path,waitTime,hov2_teleportation,util/min,escort,
modeChoice,Path,waitTime,hov2_teleportation,util/min,shopping,
modeChoice,Path,waitTime,hov2_teleportation,util/min,eatout,
modeChoice,Path,waitTime,hov2_teleportation,util/min,othmaint,
modeChoice,Path,waitTime,hov2_teleportation,util/min,social,
modeChoice,Path,waitTime,hov2_teleportation,util/min,othdiscr,
modeChoice,Path,waitTime,hov2_teleportation,util/min,atwork,
modeChoice,Path,waitTime,hov3,util/min,work,
modeChoice,Path,waitTime,hov3,util/min,univ,
modeChoice,Path,waitTime,hov3,util/min,school,
modeChoice,Path,waitTime,hov3,util/min,escort,
modeChoice,Path,waitTime,hov3,util/min,shopping,
modeChoice,Path,waitTime,hov3,util/min,eatout,
modeChoice,Path,waitTime,hov3,util/min,othmaint,
modeChoice,Path,waitTime,hov3,util/min,social,
modeChoice,Path,waitTime,hov3,util/min,othdiscr,
modeChoice,Path,waitTime,hov3,util/min,atwork,
modeChoice,Path,waitTime,hov3_teleportation,util/min,work,
modeChoice,Path,waitTime,hov3_teleportation,util/min,univ,
modeChoice,Path,waitTime,hov3_teleportation,util/min,school,
modeChoice,Path,waitTime,hov3_teleportation,util/min,escort,
modeChoice,Path,waitTime,hov3_teleportation,util/min,shopping,
modeChoice,Path,waitTime,hov3_teleportation,util/min,eatout,
modeChoice,Path,waitTime,hov3_teleportation,util/min,othmaint,
modeChoice,Path,waitTime,hov3_teleportation,util/min,social,
modeChoice,Path,waitTime,hov3_teleportation,util/min,othdiscr,
modeChoice,Path,waitTime,hov3_teleportation,util/min,atwork,
modeChoice,Path,waitTime,ride_hail,util/min,work,-0.054
modeChoice,Path,waitTime,ride_hail,util/min,univ,-0.09
modeChoice,Path,waitTime,ride_hail,util/min,school,-0.09
modeChoice,Path,waitTime,ride_hail,util/min,escort,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,shopping,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,eatout,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,othmaint,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,social,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,atwork,-0.076
modeChoice,Path,waitTime,ride_hail_pooled,util/min,work,-0.054
modeChoice,Path,waitTime,ride_hail_pooled,util/min,univ,-0.09
modeChoice,Path,waitTime,ride_hail_pooled,util/min,school,-0.09
modeChoice,Path,waitTime,ride_hail_pooled,util/min,escort,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,shopping,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,eatout,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,othmaint,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,social,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,atwork,-0.076
modeChoice,Path,waitTime,ride_hail_transit,util/min,work,-0.054
modeChoice,Path,waitTime,ride_hail_transit,util/min,univ,-0.09
modeChoice,Path,waitTime,ride_hail_transit,util/min,school,-0.09
modeChoice,Path,waitTime,ride_hail_transit,util/min,escort,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,shopping,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,eatout,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,othmaint,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,social,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,atwork,-0.076
modeChoice,Path,waitTime,walk,util/min,work,
modeChoice,Path,waitTime,walk,util/min,univ,
modeChoice,Path,waitTime,walk,util/min,school,
modeChoice,Path,waitTime,walk,util/min,escort,
modeChoice,Path,waitTime,walk,util/min,shopping,
modeChoice,Path,waitTime,walk,util/min,eatout,
modeChoice,Path,waitTime,walk,util/min,othmaint,
modeChoice,Path,waitTime,walk,util/min,social,
modeChoice,Path,waitTime,walk,util/min,othdiscr,
modeChoice,Path,waitTime,walk,util/min,atwork,
modeChoice,Path,waitTime,walk_transit,util/min,work,-0.054
modeChoice,Path,waitTime,walk_transit,util/min,univ,-0.09
modeChoice,Path,waitTime,walk_transit,util/min,school,-0.09
modeChoice,Path,waitTime,walk_transit,util/min,escort,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,shopping,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,eatout,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,othmaint,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,social,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,atwork,-0.076
modeChoice,Path,egressTime,bike,util/min,work,
modeChoice,Path,egressTime,bike,util/min,univ,
modeChoice,Path,egressTime,bike,util/min,school,
modeChoice,Path,egressTime,bike,util/min,escort,
modeChoice,Path,egressTime,bike,util/min,shopping,
modeChoice,Path,egressTime,bike,util/min,eatout,
modeChoice,Path,egressTime,bike,util/min,othmaint,
modeChoice,Path,egressTime,bike,util/min,social,
modeChoice,Path,egressTime,bike,util/min,othdiscr,
modeChoice,Path,egressTime,bike,util/min,atwork,
modeChoice,Path,egressTime,bike_transit,util/min,work,-0.054
modeChoice,Path,egressTime,bike_transit,util/min,univ,-0.09
modeChoice,Path,egressTime,bike_transit,util/min,school,-0.09
modeChoice,Path,egressTime,bike_transit,util/min,escort,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,shopping,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,eatout,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,othmaint,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,social,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,atwork,-0.076
modeChoice,Path,egressTime,car,util/min,work,-0.054
modeChoice,Path,egressTime,car,util/min,univ,-0.09
modeChoice,Path,egressTime,car,util/min,school,-0.09
modeChoice,Path,egressTime,car,util/min,escort,-0.07
modeChoice,Path,egressTime,car,util/min,shopping,-0.07
modeChoice,Path,egressTime,car,util/min,eatout,-0.07
modeChoice,Path,egressTime,car,util/min,othmaint,-0.07
modeChoice,Path,egressTime,car,util/min,social,-0.07
modeChoice,Path,egressTime,car,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,car,util/min,atwork,-0.076
modeChoice,Path,egressTime,drive_transit,util/min,work,-0.054
modeChoice,Path,egressTime,drive_transit,util/min,univ,-0.09
modeChoice,Path,egressTime,drive_transit,util/min,school,-0.09
modeChoice,Path,egressTime,drive_transit,util/min,escort,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,shopping,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,eatout,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,othmaint,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,social,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,atwork,-0.076
modeChoice,Path,egressTime,hov2,util/min,work,-0.054
modeChoice,Path,egressTime,hov2,util/min,univ,-0.09
modeChoice,Path,egressTime,hov2,util/min,school,-0.09
modeChoice,Path,egressTime,hov2,util/min,escort,-0.07
modeChoice,Path,egressTime,hov2,util/min,shopping,-0.07
modeChoice,Path,egressTime,hov2,util/min,eatout,-0.07
modeChoice,Path,egressTime,hov2,util/min,othmaint,-0.07
modeChoice,Path,egressTime,hov2,util/min,social,-0.07
modeChoice,Path,egressTime,hov2,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,hov2,util/min,atwork,-0.076
modeChoice,Path,egressTime,hov2_teleportation,util/min,work,-0.054
modeChoice,Path,egressTime,hov2_teleportation,util/min,univ,-0.09
modeChoice,Path,egressTime,hov2_teleportation,util/min,school,-0.09
modeChoice,Path,egressTime,hov2_teleportation,util/min,escort,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,shopping,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,eatout,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,othmaint,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,social,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,atwork,-0.076
modeChoice,Path,egressTime,hov3,util/min,work,-0.054
modeChoice,Path,egressTime,hov3,util/min,univ,-0.09
modeChoice,Path,egressTime,hov3,util/min,school,-0.09
modeChoice,Path,egressTime,hov3,util/min,escort,-0.07
modeChoice,Path,egressTime,hov3,util/min,shopping,-0.07
modeChoice,Path,egressTime,hov3,util/min,eatout,-0.07
modeChoice,Path,egressTime,hov3,util/min,othmaint,-0.07
modeChoice,Path,egressTime,hov3,util/min,social,-0.07
modeChoice,Path,egressTime,hov3,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,hov3,util/min,atwork,-0.076
modeChoice,Path,egressTime,hov3_teleportation,util/min,work,-0.054
modeChoice,Path,egressTime,hov3_teleportation,util/min,univ,-0.09
modeChoice,Path,egressTime,hov3_teleportation,util/min,school,-0.09
modeChoice,Path,egressTime,hov3_teleportation,util/min,escort,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,shopping,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,eatout,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,othmaint,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,social,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,atwork,-0.076
modeChoice,Path,egressTime,ride_hail,util/min,work,-0.054
modeChoice,Path,egressTime,ride_hail,util/min,univ,-0.09
modeChoice,Path,egressTime,ride_hail,util/min,school,-0.09
modeChoice,Path,egressTime,ride_hail,util/min,escort,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,shopping,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,eatout,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,othmaint,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,social,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,atwork,-0.076
modeChoice,Path,egressTime,ride_hail_pooled,util/min,work,-0.054
modeChoice,Path,egressTime,ride_hail_pooled,util/min,univ,-0.09
modeChoice,Path,egressTime,ride_hail_pooled,util/min,school,-0.09
modeChoice,Path,egressTime,ride_hail_pooled,util/min,escort,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,shopping,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,eatout,-0.07
