TAZID,CO_FIPS,xcoord,ycoord
1235,35,-111.884874452092,40.6766428727055
1236,35,-111.885542660774,40.6705544366563
1237,35,-111.877486998781,40.6686039150153
1238,35,-111.884973138432,40.6637912223459
1243,35,-111.900212613579,40.648713006583
932,35,-111.906376329121,40.6457442366077
1245,35,-111.900941836243,40.6390296098073
1239,35,-111.873017887711,40.6607452373998
1247,35,-111.883526692028,40.658020911102
1234,35,-111.892400720728,40.6589866854745
1251,35,-111.88477143445,40.646253145725
1248,35,-111.886725487236,40.652534574808
1249,35,-111.880664879519,40.6526441109563
1250,35,-111.871609768887,40.6522355904656
1254,35,-111.886162889272,40.6370252546859
1255,35,-111.877676628779,40.6399824861748
1257,35,-111.869046911074,40.6359514685136
1252,35,-111.876070946817,40.6443167104638
1253,35,-111.870387858794,40.6469480794111
1242,35,-111.852342837843,40.652997056521
1260,35,-111.848092621132,40.6439084794191
1265,35,-111.855075674167,40.7166967173754
1266,35,-111.848032565575,40.7161432691094
1269,35,-111.86978892693,40.7089586231727
1263,35,-111.86821530972,40.7159723678751
1270,35,-111.866877620872,40.7089579961093
1271,35,-111.86264095993,40.709108102398
1273,35,-111.868389895746,40.7025645857884
1272,35,-111.856834787142,40.7087984603818
1274,35,-111.860086845081,40.7026362909849
1276,35,-111.848946356195,40.709541870701
1267,35,-111.838322050132,40.715354088762
1277,35,-111.838573071518,40.7101479283301
1278,35,-111.831785692493,40.7076383605509
1279,35,-111.826971738916,40.7090506607815
1275,35,-111.853255965631,40.7026614531425
1280,35,-111.847707247732,40.7031802476738
1281,35,-111.841197179601,40.7041533065359
1283,35,-111.828436263332,40.7022066973131
1284,35,-111.819931251915,40.7087138013639
1285,35,-111.819243395246,40.7025871265118
1298,35,-111.819899645166,40.6969646558896
1299,35,-111.804637464447,40.6971941787107
1297,35,-111.829022185721,40.6900298432088
1300,35,-111.819519582382,40.6906315535967
1288,35,-111.787979499295,40.6824661207054
1301,35,-111.806330038323,40.690856092232
1302,35,-111.868463375783,40.6806778631531
1291,35,-111.862628031489,40.6934880803433
1303,35,-111.862682974861,40.6807055347249
1305,35,-111.868163577849,40.6703876844348
1293,35,-111.85084617344,40.6924260391208
1308,35,-111.845734705931,40.6800152749184
1309,35,-111.847174895026,40.6702454796023
1310,35,-111.839411176042,40.6842119224852
1312,35,-111.83805085439,40.6781601583677
1313,35,-111.829377828466,40.6777771968954
1311,35,-111.829497226277,40.684333161453
1314,35,-111.819720865994,40.6846189008672
1315,35,-111.809471974318,40.6844628267322
1316,35,-111.800566881063,40.6839969772602
1318,35,-111.810099644032,40.6784334177941
1319,35,-111.802759847048,40.678535266158
1320,35,-111.835817155845,40.6701313906555
1323,35,-111.825634043538,40.6623639069714
1325,35,-111.812802167629,40.669751199998
1289,35,-111.794941867381,40.6723563982194
1326,35,-111.81589659366,40.662421272353
1327,35,-111.808839699944,40.6636764207345
1328,35,-111.857284011629,40.6636928007387
1329,35,-111.848500551747,40.6623003371982
1322,35,-111.833828640739,40.6633992310204
1330,35,-111.840046504547,40.6606842278413
1261,35,-111.844570534342,40.6374525015259
1335,35,-111.831557484195,40.6465742132804
1262,35,-111.845536843244,40.632857578903
1337,35,-111.822735579135,40.6364012028672
1338,35,-111.801895323628,40.6404271349492
714,35,-112.112081258843,40.672693700955
1343,35,-112.098297886466,40.6636677132048
1341,35,-112.104967925126,40.6478396528832
1346,35,-112.08094785988,40.6318520035217
1345,35,-112.086136858574,40.6535727305735
1348,35,-112.063160216238,40.6453446911033
1349,35,-112.054542655503,40.6473966669677
1350,35,-112.050319862101,40.6319314421516
1352,35,-112.088048133174,40.6152294827223
1356,35,-112.047356432942,40.6153244978115
1364,35,-112.037533261105,40.5913542296525
1358,35,-112.037238817943,40.6017764266353
1360,35,-112.071449695499,40.5913730624803
1367,35,-112.09640246758,40.554743481183
1374,35,-112.035649320599,40.5782919116196
1378,35,-112.037174682364,40.5543660773393
1381,35,-112.057880446325,40.5406675548578
1379,35,-112.058934428029,40.5472699378297
1371,35,-112.071249453848,40.5523445545859
1372,35,-112.068540576657,40.5468712399909
1380,35,-112.048072003627,40.5475646081758
1382,35,-112.048010316152,40.5406282916064
1398,35,-112.016345763502,40.5291605616359
1387,35,-112.021547640534,40.5394994526381
1389,35,-112.084740593129,40.5473191071187
1388,35,-112.100812714619,40.5410950758798
1392,35,-112.070773159889,40.5414454029353
1393,35,-112.069218986211,40.531297430512
1406,35,-112.03827655226,40.5192825824675
1395,35,-112.04808182185,40.5297075524671
1397,35,-112.028619985344,40.5311149108491
1407,35,-112.028651351083,40.5196923199362
1402,35,-112.080528661071,40.5175125422165
1396,35,-112.037896547352,40.5307615635439
1408,35,-112.019318374533,40.5201793714894
1409,35,-112.038222721277,40.51094537036
1410,35,-112.028726487814,40.511022560884
1411,35,-112.013643146929,40.5135259780899
1416,35,-112.00495641285,40.4860814279672
1420,35,-112.03937775571,40.6311855145446
933,35,-112.035262945627,40.6457207259987
1421,35,-112.029003295459,40.6313813450077
