taz,coord-x,coord-y,area
172,412804.22115,4568734.08571,1638767.44851004
173,413700.28302,4567200.61805,5217325.6384578
174,416721.23802,4577776.57138,1358611.14261462
175,415942.01304,4576966.1404,1678052.48225336
176,415513.70614,4576118.60815,3406272.53069827
177,414400.6846,4574619.69942,2305277.56282006
178,415253.24756,4574731.8786,2767329.2763783
179,416500.03593,4573927.02911,1684624.92898975
180,417739.01458,4577678.08041,728020.76184328
181,417627.24939,4576892.32185,881006.590895003
182,418973.16314,4576617.76119,1530411.73171524
183,417471.6748,4575494.40834,2994944.60324416
184,418791.06704,4575203.72948,2336626.19731946
185,417448.06762,4573815.7047,1581590.17149757
186,418390.46427,4573552.1143,1191767.68702222
187,420172.70028,4575818.47659,2983901.36107638
188,421080.87236,4575529.30583,1813702.68469237
189,419487.30449,4574337.53828,777065.243335688
190,420288.46636,4574010.22951,662963.457236467
191,419699.69897,4573462.56496,1024187.75703726
192,421327.02002,4573830.91135,1568018.81348208
193,414741.26065,4572142.78214,2290719.71982243
194,415680.31113,4572029.29636,1727932.74062096
195,416182.40765,4572430.41239,1226174.30260803
196,417745.29074,4572464.05279,2369314.2123412
197,416939.4174,4570918.09659,923415.109866712
198,417920.43892,4571422.57031,2040219.46715103
199,418139.37179,4570462.14245,1122348.11649552
200,417896.03993,4569468.7473,2225593.30102671
201,419334.9623,4572625.92809,928449.621829039
202,420050.67902,4572534.12409,549211.111986518
203,421074.59938,4572730.85125,1749935.36287939
204,419294.12832,4571695.68139,692034.804171634
205,420130.58322,4571666.77561,671475.332887181
206,420754.55771,4571750.19193,296605.093493027
207,419265.15376,4570627.49071,1107297.6284869
208,420308.04254,4570746.19289,1544978.80991525
209,419239.29997,4569387.29621,1018504.16736934
210,419938.97704,4569452.51112,598556.625706597
211,414962.85628,4570437.0327,1887883.06397647
212,414557.10471,4569665.67768,1455659.72549427
213,414919.78395,4567913.33191,2456481.47451794
214,416198.11888,4570130.98924,2002350.65416486
215,416367.95724,4568509.01354,2801173.09189281
216,416169.75752,4567064.09014,2157355.2699669
217,417593.48397,4568021.47902,1616854.34754424
218,417566.37132,4566766.30155,803657.404683995
219,418389.20818,4567712.33981,1210928.88302518
220,419223.92548,4568406.02705,1090707.58183306
221,419331.81743,4567555.63252,948789.284470108
222,420271.27801,4568643.55639,953672.491593203
223,420596.68664,4569388.35786,308357.097280111
224,420244.52135,4567522.9693,569195.976809509
225,420902.97039,4567966.27858,697921.374509252
226,419132.40212,4566938.79628,321048.63802483
227,419470.37305,4566597.28496,700524.990050774
228,420311.92925,4566687.22998,548435.69099223
229,420855.5279,4566721.08566,640743.199441437
230,421331.70961,4567195.68118,505501.921199225
231,421666.08254,4566204.28264,1054848.50648272
232,406650.07322,4565432.31791,3686738.88651208
233,407979.6354,4565691.2552,1198058.08863333
234,408705.70637,4565378.10165,1835902.19916378
235,410042.27112,4565875.7189,1724599.42989633
236,410027.12497,4564937.82929,1301758.85464888
237,411435.52081,4565871.72145,1239256.69515821
238,411653.5785,4564867.94297,1418071.06140688
239,406556.99507,4563588.17869,3179233.84778768
240,408396.29028,4564159.72675,1307258.94132501
241,410011.87545,4564130.31791,1307195.11089985
242,411602.04084,4564062.04361,1181443.92628542
243,412995.58068,4565783.29484,2126713.34927361
244,414539.84174,4565190.8733,1095298.7543891
245,413230.98943,4564865.42392,1295489.01813208
246,413233.62207,4564062.71191,1287345.08213856
247,414628.35379,4564143.33979,1207519.81833119
248,413212.45697,4563259.77289,1298833.43661641
249,413074.07348,4562196.27456,1994462.20946683
250,407974.47753,4562953.70401,1308570.62093153
251,408780.56505,4562945.85153,1290567.70797401
252,409991.6418,4563312.11007,1332291.23340196
253,409980.29924,4562502.7193,1282506.55481933
254,411605.60769,4563287.80336,1298448.28629678
255,411587.38871,4562478.86834,1301799.73832403
256,407936.18371,4561333.80984,1336511.02095334
257,409090.41327,4561404.73796,2329708.97367734
258,410227.4984,4561160.09014,1587724.62925649
259,411573.49011,4561670.91805,1296998.09260575
260,414634.53777,4563097.97221,1596487.87849791
261,414920.4313,4562260.20713,1753573.468617
262,415897.24417,4562999.66442,445812.536597853
263,416274.79726,4562318.51941,785032.812620698
264,415293.13917,4560947.22702,4030721.52981354
265,406500.36115,4561535.55932,4719846.31014038
266,403337.38799,4559567.76311,4074943.47722315
267,404976.99679,4559495.36155,3587761.01303059
268,406674.12779,4559450.63136,3548017.88426917
269,403157.48199,4557407.37759,4141908.64322285
270,404974.61909,4557362.41811,3456405.79780148
271,406631.96604,4557331.74173,3478450.3498998
272,407911.21797,4559442.2774,1773831.05587151
273,408726.29599,4559693.47498,1291490.61697151
274,408386.2871,4558101.16326,1779494.38139721
275,408262.71829,4556887.6431,2053651.79897706
276,409927.47193,4559677.51807,2609849.71977366
277,411528.95136,4560874.76951,1254496.18607196
278,411201.17909,4559963.16291,1045746.18405355
279,413164.60331,4561159.1598,1496989.8334345
280,411906.41319,4559547.63726,1908939.61307076
281,413829.11078,4560741.94467,716336.590509082
282,413390.07125,4560035.62895,1078597.16585523
283,412709.88347,4559239.91012,476070.08801582
284,413476.16348,4559221.34822,758790.173363653
285,414336.60214,4559268.67878,602467.913119818
286,409676.04904,4558250.45889,1537460.34888536
287,410428.60734,4557943.77281,761057.161056257
288,411113.07349,4558047.42946,1304171.24676705
289,409481.28059,4556871.04908,1031733.37381768
290,410273.59129,4556797.22344,933280.742759989
291,411952.79568,4558436.01928,690665.383537766
292,412042.75914,4557621.76107,853401.540875283
293,412780.89943,4558467.69728,602573.519596192
294,413558.39295,4558432.26238,598671.18996345
295,414201.85499,4558466.92392,399026.709644984
296,413032.70201,4557663.5108,815201.343182281
297,413921.70817,4557663.20805,649023.969041482
298,411155.38606,4556757.57706,944810.190507591
299,411942.93491,4556677.2417,715814.205873101
300,412569.74642,4556665.01728,532094.870527642
301,413063.30365,4556736.3603,495069.804849566
302,413683.79645,4556744.35254,759603.363915579
303,416177.74909,4565650.65811,2698447.3641247
304,415535.41413,4565094.19802,752306.663884856
305,415632.73332,4564438.62483,496259.230474643
306,417491.70565,4565766.61649,1244217.43530329
307,418336.68579,4566294.84714,681464.955832843
308,418424.93764,4565555.83173,453229.756586708
309,418934.96512,4565835.66719,452942.362141687
310,419401.72611,4565807.47807,370972.816455693
311,419860.14223,4565904.17802,476467.131100073
312,420705.7478,4565763.4999,848070.813266214
313,415945.89132,4564111.05291,470111.764817651
314,416868.36994,4564362.61765,390342.983334313
315,416554.92747,4563460.79293,1522101.23877376
316,417339.73496,4564383.18245,479081.242988783
317,417346.40776,4563075.07629,1182580.66671254
318,417725.69443,4564910.55939,261912.480553774
319,418323.28639,4565039.31663,224129.439850876
320,417779.20634,4564436.168,194821.537132851
321,418089.82228,4564651.01066,102813.574144019
322,418321.76863,4564645.73431,110714.280719116
323,418560.43538,4564639.95618,109849.504407823
324,418798.36419,4564630.78799,110807.040172271
325,418078.85381,4564187.92344,107729.926017679
326,418312.40426,4564183.20977,110504.991869614
327,418548.877,4564174.2212,109761.379642369
328,418785.52986,4564168.46335,109897.32166325
329,418019.47537,4563726.0731,152421.027640933
330,418300.18403,4563716.27313,108447.805085189
331,418534.63107,4563710.22296,109872.448087722
332,418771.56799,4563703.75355,110813.716644608
333,418012.4317,4563284.67658,138167.736662602
334,418285.82851,4563250.55729,109661.848122664
335,418520.24582,4563244.26136,108501.575236235
336,418757.35599,4563240.05648,111629.111473806
337,419240.59809,4565144.84793,544044.330081907
338,419267.00604,4564618.61672,323894.948161276
339,419253.61513,4564154.8471,324791.590159152
340,419240.20355,4563689.94058,325790.45270291
341,420148.64529,4565092.98123,511727.876352974
342,420081.04867,4564595.85516,430090.99521875
343,420066.88487,4564131.91293,431754.779876528
344,420053.8059,4563666.69476,432687.123493981
345,421300.9166,4565379.80973,524148.365778256
346,421354.4725,4564874.05746,1098847.07553899
347,421822.93947,4564636.40824,406084.869657028
348,420993.98318,4564105.13687,429624.506052036
349,421877.82197,4564134.47858,408485.10357937
350,417737.03126,4562728.39787,333167.953114219
351,418153.80456,4562674.79674,324133.999933207
352,418506.42843000003,4562667.87609,163664.861884195
353,418742.78526,4562659.34559,164312.251394697
354,419226.82786,4563224.25558,325997.443280784
355,420040.89312,4563201.0882,432647.442761804
356,419213.93462,4562760.44177,323146.311011107
357,420027.37139,4562737.09256,429597.568475706
358,420097.78133,4562311.34323,324187.442307089
359,420980.19541,4563640.6493,430747.462472433
360,421897.32788,4563532.46372,465443.835829497
361,420932.85233,4562991.94404,757247.723726417
362,421819.37787,4563008.53023,500661.140757659
363,417325.54215,4561788.30851,701088.985629496
364,417262.56648,4560504.77592,1317591.84270994
365,418136.68896,4562063.49878,249115.262846909
366,418638.25283,4562023.32498,257313.522109805
367,417652.07341,4561491.88133,287927.106487296
368,418119.69004,4561489.29189,287586.141873961
369,418560.96177,4561490.33901,286569.410754971
370,419274.84399,4562280.38207,387801.888008031
371,419185.09599,4561548.86223,615996.089559787
372,419590.76694,4561751.60164,239515.429839762
373,420099.39148,4561619.66019,670659.116661366
374,420859.83727,4562300.09275,374972.002879921
375,421566.31283,4561986.45261,1026884.95367696
376,420889.93334,4561534.1623,776404.198109152
377,418234.38812,4560796.85576,533565.476814005
378,418901.51654,4560941.15076,284765.812317726
379,418887.43036,4560539.63818,239902.319878807
380,419450.85586,4560708.25417,373359.088131867
381,419812.69159,4560780.7623,230666.128897469
382,420151.86862,4560502.56236,636330.063537703
383,420904.95657,4560418.96247,1280971.51586914
384,420756.53639,4559422.54545,463381.003554044
385,421592.66154,4559862.13946,1214452.38500548
386,415944.67002,4560063.84522,1282547.58961114
387,416605.36738,4560418.03645,861566.526196315
388,415708.12733,4559188.4324,764244.643857632
389,417533.23985,4559918.37914,416716.540066424
390,418113.8351,4560157.78863,204623.977905717
391,418095.3073,4559868.14596,343999.345409533
392,417556.07475,4559106.30681,422635.488919385
393,418179.18668,4559323.91872,598671.416295873
394,419023.46705,4559836.45812,942735.987629997
395,418923.19799,4558773.45885,865642.421056014
396,419616.87133,4559395.64017,651285.039294637
397,420112.55954,4559541.89184,482344.612359513
398,420166.23293,4558762.85135,298360.260274748
399,414550.95119,4556915.1094,831478.65142857
400,414875.64804,4558952.3114,678651.748236708
401,415606.15818,4557389.09035,3028746.55905255
402,415128.66535,4556510.26342,870075.040949482
403,416027.91127,4558501.18957,1046691.14775858
404,416720.55388,4558202.1216,1435587.74177827
405,417862.72846,4558604.18991,624798.838229928
406,417142.85617,4557946.53201,619161.764490936
407,417823.46725,4557909.22183,539255.355949198
408,418407.70503,4558013.63769,443726.415278912
409,417715.85243,4556846.09877,1758817.42135859
410,418515.5001,4557281.40929,323230.607101798
411,419122.46086,4557530.60331,600929.84068904
412,419615.92623,4556592.9791,2795630.24636399
413,420901.94099,4555814.19853,1558397.33980161
414,421462.08621,4554973.631,3051314.49132803
415,419872.97062,4558034.70891,1611981.14711872
416,420811.30523,4557122.44692,537243.887316633
417,421682.93313,4557987.50253,4110308.61172921
418,421750.3992,4556510.20501,1201899.20099053
419,422760.56777,4556038.40895,1569303.65157448
420,423586.89515,4555400.99963,2092141.87211391
424,403838.34222,4555393.04539,6925310.01757688
425,405293.60212,4553192.92487,3252517.11505807
426,406724.70922,4551960.12769,4428928.86062377
427,407425.18568,4550026.00283,4623306.38681439
428,406605.37375,4555582.44292,2348501.81876176
429,408291.68927,4555581.536,2352404.98591537
430,406613.33342,4554068.56969,2611903.51465646
431,408220.66464,4553651.33789,1301449.09024527
432,408232.20317,4554456.69735,1300481.24678161
433,409942.90569,4555914.53152,835851.610377435
434,409860.03191,4555242.52971,1306983.38321894
435,409849.77025,4554436.76783,1305432.67269371
436,409839.94028,4553631.79887,1308546.81487431
437,411084.36094,4555920.30488,464635.812228651
438,411878.67527,4555913.14334,456413.063581457
439,411074.20443,4555229.26944,653740.955687756
440,411867.32918,4555216.80791,627885.881110655
441,411871.78215,4554412.43584,650803.993803166
442,411065.14288,4554422.50083,650407.349378609
443,411054.54017,4553615.95847,650860.490579804
444,411860.61028,4553605.14549,649802.186551414
445,412669.43434,4555212.38438,665791.389799457
446,413418.79723,4552019.32996,680472.48295795
447,412655.97144,4555905.26442,455360.15521465
448,413487.27195,4555906.60053,531536.412499506
449,413508.47807,4555203.05798,690066.844092837
450,412684.32841,4553593.576,679847.484686104
451,412683.93255,4554401.56414,662883.006272932
452,413509.59438,4554394.10304,671718.71576264
453,413513.969,4553583.1254,660169.203382495
454,412733.09061,4552765.82459,767993.515791782
455,413530.56456,4552808.33967,534836.545183405
456,412642.69803,4551936.61319,612100.625626029
457,408210.77535,4552845.57835,1304325.77075115
458,409829.51076,4552825.23642,1304642.22606534
459,408401.59947,4551572.20646,2350215.05247035
460,409807.97148,4551223.84004,1304241.63024286
461,409818.05584,4552025.02048,1282505.98976988
462,409824.85522,4550043.94234,2471679.09399426
463,411041.73501,4552809.58998,652814.666037223
464,411849.64214,4552799.22505,649624.973008661
465,411435.77552,4552003.97682,1285283.39147188
466,411421.97499,4551202.13667,1309497.94521455
467,411406.09145,4549993.62583,2601065.96204484
468,413409.45813,4550245.06068,5556923.2506603
469,414270.65367,4552298.12748,765756.841582348
470,414221.96131,4551194.65294,316216.049349008
471,414771.37746,4551309.49556,1093028.90918609
472,415076.57716,4549898.53099,917394.230663165
473,415606.0653,4550174.36843,1056330.24835809
474,414190.85932,4555384.84491,653567.66688342
475,414288.1347,4553905.37865,1272708.40634928
476,414713.23844,4552465.52429,552421.33596771
477,414929.78241,4553711.27675,1191828.6268397
478,417260.61784,4553781.68966,15586055.7852352
479,415833.50285,4551414.8861,1611496.51844625
480,417426.83323,4551689.01196,4791634.25716029
481,418843.70948,4554945.69986,5908562.61475596
482,421642.57484,4553904.29381,2173314.7428187
483,420459.60814,4551475.29386,2484862.38786136
484,421531.89373,4551939.99857,3414819.86060114
485,423054.22594,4553719.93138,1011756.45795606
486,423987.38256,4553909.65309,537317.691442532
487,422729.90058,4553019.46418,1704227.54528643
488,422968.89214,4551774.67874,2025573.05872931
489,424094.17933,4552686.55886,1492142.46108581
490,408000.54851,4548339.71818,6132716.58454563
491,409429.63191,4546530.55067,8144703.12253398
492,410115.06569,4548637.99861,1182593.64201908
493,411404.47399,4548790.40948,1289558.24907945
494,411361.47081,4547989.23123,1308700.51864799
495,411656.13603,4547152.8206,998820.386192798
496,412993.72897,4548756.97226,1332531.9624675
497,414599.41601,4548769.39173,1179527.23589107
498,413001.47449,4547954.5814,1253588.38797714
499,414996.93699,4547950.68791,2059663.00257455
500,413002.2836,4547181.3138,1230567.74626998
501,414588.99601,4547148.94313,1276138.77016553
502,412979.0588,4546395.19948,1294830.05151011
503,414583.33315,4546344.33255,1323344.34574788
504,416319.52774,4548268.39553,1429959.83831969
505,416738.98778,4548693.52354,1512255.11376558
506,412657.87464,4544876.2956,7118737.97265129
507,414410.06072,4545369.65022,2460309.82283426
508,416023.21745,4546593.67031,1891495.69538406
509,416183.42929,4545303.9689,1958391.75110908
510,415968.57437,4544145.61578,1526980.02034525
511,417336.22856,4544904.21582,1035346.01770707
512,417168.14636,4546607.2364,1629723.33034692
513,417934.08754,4546786.21914,1396760.92102877
514,417911.32669,4545476.37097,965114.858580797
515,418847.94055,4545148.96669,1159232.00853704
516,417029.44745,4542871.19058,4618718.09507923
517,418161.92135,4544084.20391,1581787.11303111
518,419366.42634,4543951.74485,1097681.29498741
519,418793.96329,4542715.02166,1739962.8565707
520,419870.98912,4542685.31788,1706371.23056426
521,418702.2041,4541265.25856,1976844.74768305
522,419849.38511,4540379.97278,1981775.88888408
523,420811.18053,4540427.59387,2663441.17305072
524,416674.85753,4550452.23583,485574.872028407
525,417703.56466,4550156.37498,1281527.45449803
526,416982.90121,4549686.63401,1395684.15075785
527,417734.14819,4548487.87816,1411461.69791823
528,418826.39846,4549892.35707,1825938.33323784
529,420162.25502,4549855.53983,2351014.85388567
530,418832.88803,4548296.57172,1946351.33136885
531,419803.50349,4548576.3021,792475.305591974
532,421931.4757,4550191.97502,1794783.81765644
533,422545.84952,4549808.76178,2161781.00074619
534,422284.01884,4548871.65888,2371672.99491256
535,421120.61618,4548018.70928,2867104.50931371
536,423903.86294,4549274.76422,2023189.95986932
537,423914.00905,4546487.12745,2130455.20561754
538,418675.25254,4547099.09219,876639.650786623
539,419254.45665,4546557.52597,843080.7072712
540,419386.80598,4545385.02628,297411.745162835
541,419920.08438,4546603.67468,1162903.66989645
542,421724.15688,4547151.74123,3546716.38949186
543,420158.11782,4545186.40095,1766575.40277986
544,422231.20282,4546111.42741,3767026.14528174
545,420574.29939,4544079.94692,1719683.23839547
546,422194.37928,4544778.50653,2789601.2124881
547,422655.15695,4543987.98549,1636508.83890089
548,420777.15101,4542820.12671,961064.968366188
549,421781.1418,4542976.10631,1039342.42328585
550,423032.53385,4543177.86373,1109755.05563831
551,422506.59058,4542300.98513,1235323.28136995
552,423089.3397,4541493.7502,1555151.33252049
553,424005.97652,4542993.5724,3775192.54582558
554,421322.749,4541539.11104,1940507.00502641
555,422080.47468,4540525.38381,1777953.91387703
556,422901.54959,4539845.6621,1467131.6392096
557,423399.40265,4538711.69515,1122712.48031037
558,423996.27814,4540333.58818,1585430.75042691
559,424722.15621,4539786.99463,1635043.35886095
560,424229.62166,4538691.00691,728394.26059657
561,425305.07613,4538603.19428,1239874.82067109
562,424652.69361,4537704.10007,808574.910990354
563,421349.24106,4538179.58072,4109220.54659855
564,422783.91466,4538242.74827,1835355.01456291
565,423933.18991,4537431.66698,725174.282040516
566,421693.88886,4536366.6281,2844495.8494467
567,423075.32078,4536095.11654,2060071.70571581
568,424111.03618,4536257.99327,2019134.33037344
569,422105.84482,4534770.66773,1996640.40930326
570,425433.05645,4537487.73835,952240.886842244
571,425105.15756,4536603.01823,806900.184717082
572,425934.15145,4536696.91239,516101.925783955
573,425271.14916,4535773.61267,802594.377000697
574,426127.76483,4535756.11375,910224.542411003
575,423486.60334,4534554.62649,1711611.98133651
576,424514.05099,4534617.20458,1244542.06845257
577,424361.84888,4532337.28275,2619887.07048842
578,425497.50518,4534570.24429,1500019.44785567
579,425382.4201,4533274.05268,876061.712492208
580,426167.94794,4533054.4294,960301.572839749
581,425188.43354,4532054.55836,831884.310205674
582,425721.03951,4531957.02217,754745.133037206
583,426435.52693,4531781.58924,979996.021243409
584,423658.73509,4530664.72028,1617574.03073277
585,424522.7293,4530009.13292,627157.324817569
586,424617.7703,4530828.2446,495730.332479733
587,422823.56307,4529531.4257,1237459.73484632
588,423972.50415,4529237.85523,1639553.42544945
589,425174.39901,4530846.22205,444029.819141282
590,425716.20855,4530841.51419,469133.133493546
591,426256.67639,4530812.3532,441381.071803357
592,425164.40428,4529957.33316,497910.038844306
593,425708.14947,4529951.91997,519342.767234533
594,426264.9809,4529942.91495,523569.658731603
595,425154.02939,4529129.99865,388344.941064415
596,425698.77687,4529122.30958,398066.14906488
597,426252.55503,4529115.65747,399397.39481141
598,426919.74289,4529916.67701,1915908.60163316
599,421366.58002,4527728.46944,1930275.59619058
600,422541.39675,4527964.21045,1643344.97497908
601,423607.92792,4528089.36338,1156271.63752976
602,424385.55018,4528148.18891,997705.406573001
603,422219.7081,4526860.72441,2106282.9279533
604,423837.09556,4526840.45209,1417854.60728266
605,425052.00374,4527994.9681,955161.676870832
606,425684.7984,4528047.60541,793328.555152446
607,426239.7155,4528039.5977,794760.613411995
608,424665.43688,4526819.78882,370040.657252558
609,425113.90672,4526830.23367,601444.759823014
610,425598.55698,4526808.08101,434850.964107225
611,426157.11148,4526804.46539,732764.276531562
612,426912.19147,4528054.45737,1100576.20548857
613,427822.76852,4527946.82617,1260643.86322518
614,426836.84786,4526824.27423,708673.42478887
615,427652.09137,4526778.82134,1068810.15911057
616,428647.04975,4527186.99981,2215186.37398639
617,419791.49224,4524427.41284,6276370.422708
618,421194.56281,4524693.06547,2566794.27126147
619,422409.21463,4525779.31466,1604500.96091438
620,421879.22071,4524476.17925,689523.000337726
621,422631.53144,4524558.05651,1521714.33785841
622,423588.89844,4525770.7544,863157.218861233
623,424228.61111,4525773.94585,475258.925963409
624,423568.77295,4524528.22463,1189463.53811226
625,424166.89446,4524655.05575,475990.400901105
626,424560.16443,4524952.36248,1041456.82503454
627,425199.14627,4525617.52875,1128171.18896129
628,426095.04295,4525894.0514,542969.295446828
629,425787.63882,4525168.35753,633809.38500132
