taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor
102,Workplace,Block,NoCharger,1000000,0,Any
103,Public,Block,NoCharger,1000000,0,Any
103,Residential,Block,NoCharger,1000000,0,Any
103,Workplace,Block,NoCharger,1000000,0,Any
104,Public,Block,NoCharger,1000000,0,Any
104,Residential,Block,NoCharger,1000000,0,Any
104,Workplace,Block,NoCharger,1000000,0,Any
105,Public,Block,NoCharger,1000000,0,Any
105,Residential,Block,NoCharger,1000000,0,Any
105,Workplace,Block,NoCharger,1000000,0,Any
106,Public,Block,NoCharger,1000000,0,Any
106,Residential,Block,NoCharger,1000000,0,Any
106,Workplace,Block,NoCharger,1000000,0,Any
107,Public,Block,NoCharger,1000000,0,Any
107,Residential,Block,NoCharger,1000000,0,Any
107,Workplace,Block,NoCharger,1000000,0,Any
108,Public,Block,NoCharger,1000000,0,Any
108,Residential,Block,NoCharger,1000000,0,Any
108,Workplace,Block,NoCharger,1000000,0,Any
109,Public,Block,NoCharger,1000000,0,Any
109,Residential,Block,NoCharger,1000000,0,Any
109,Workplace,Block,NoCharger,1000000,0,Any
110,Public,Block,NoCharger,1000000,0,Any
110,Residential,Block,NoCharger,1000000,0,Any
110,Workplace,Block,NoCharger,1000000,0,Any
111,Public,Block,NoCharger,1000000,0,Any
111,Residential,Block,NoCharger,1000000,0,Any
111,Workplace,Block,NoCharger,1000000,0,Any
112,Public,Block,NoCharger,1000000,0,Any
112,Residential,Block,NoCharger,1000000,0,Any
112,Workplace,Block,NoCharger,1000000,0,Any
113,Public,Block,NoCharger,1000000,0,Any
113,Residential,Block,NoCharger,1000000,0,Any
113,Workplace,Block,NoCharger,1000000,0,Any
114,Public,Block,NoCharger,1000000,0,Any
114,Residential,Block,NoCharger,1000000,0,Any
114,Workplace,Block,NoCharger,1000000,0,Any
115,Public,Block,NoCharger,1000000,0,Any
115,Residential,Block,NoCharger,1000000,0,Any
115,Workplace,Block,NoCharger,1000000,0,Any
116,Public,Block,NoCharger,1000000,0,Any
116,Residential,Block,NoCharger,1000000,0,Any
116,Workplace,Block,NoCharger,1000000,0,Any
117,Public,Block,NoCharger,1000000,0,Any
117,Residential,Block,NoCharger,1000000,0,Any
117,Workplace,Block,NoCharger,1000000,0,Any
118,Public,Block,NoCharger,1000000,0,Any
118,Residential,Block,NoCharger,1000000,0,Any
118,Workplace,Block,NoCharger,1000000,0,Any
119,Public,Block,NoCharger,1000000,0,Any
119,Residential,Block,NoCharger,1000000,0,Any
119,Workplace,Block,NoCharger,1000000,0,Any
120,Public,Block,NoCharger,1000000,0,Any
120,Residential,Block,NoCharger,1000000,0,Any
120,Workplace,Block,NoCharger,1000000,0,Any
121,Public,Block,NoCharger,1000000,0,Any
121,Residential,Block,NoCharger,1000000,0,Any
121,Workplace,Block,NoCharger,1000000,0,Any
122,Public,Block,NoCharger,1000000,0,Any
122,Residential,Block,NoCharger,1000000,0,Any
122,Workplace,Block,NoCharger,1000000,0,Any
123,Public,Block,NoCharger,1000000,0,Any
123,Residential,Block,NoCharger,1000000,0,Any
123,Workplace,Block,NoCharger,1000000,0,Any
124,Public,Block,NoCharger,1000000,0,Any
124,Residential,Block,NoCharger,1000000,0,Any
124,Workplace,Block,NoCharger,1000000,0,Any
125,Public,Block,NoCharger,1000000,0,Any
