coefficient_name,target
coef_sr3p_ASC_sr2_social,0.04579373308365744
coef_sr3p_ASC_sr3p_social,0.9271354893632671
coef_sr3p_ASC_walk_social,0.007777526164634789
coef_walk_ASC_walk_social,1
coef_walk_transit_ASC_sov_social,0.051053007629529426
coef_walk_transit_ASC_sr2_social,0.05077408881247642
coef_walk_transit_ASC_sr3p_social,0.03768945214196633
coef_walk_transit_ASC_walk_social,0.08356327944075213
coef_walk_transit_ASC_walk_transit_social,0.7769201719752756
coef_bike_ASC_bike_univ,0.8830139566092788
coef_bike_ASC_sr2_univ,0.03823807363950648
coef_bike_ASC_sr3p_univ,0.0429397711239531
coef_bike_ASC_walk_univ,0.03580819862726157
coef_drive_transit_ASC_drive_transit_univ,0.45190107219549125
coef_drive_transit_ASC_sov_univ,0.028662810048795218
coef_drive_transit_ASC_sr3p_univ,0.03305608908111813
coef_drive_transit_ASC_walk_univ,0.06314176652789932
coef_drive_transit_ASC_walk_transit_univ,0.4232382621466961
coef_sov_ASC_sov_univ,0.9904708805208796
coef_sov_ASC_walk_univ,0.00952911947912033
coef_sr2_ASC_sov_univ,0.28459676242645465
coef_sr2_ASC_sr2_univ,0.6789473141745657
coef_sr2_ASC_walk_univ,0.03645592339897972
coef_sr3p_ASC_sov_univ,0.10472386107738856
coef_sr3p_ASC_sr2_univ,0.24394570949124972
coef_sr3p_ASC_sr3p_univ,0.5984346149876156
coef_sr3p_ASC_walk_univ,0.05289581444374612
coef_walk_ASC_walk_univ,1
coef_walk_transit_ASC_bike_univ,0.014119127364123194
coef_walk_transit_ASC_sov_univ,0.060950873322373283
coef_walk_transit_ASC_sr2_univ,0.13559570633020396
coef_walk_transit_ASC_sr3p_univ,0.039018676937585185
coef_walk_transit_ASC_walk_univ,0.042888903553548595
coef_walk_transit_ASC_walk_transit_univ,0.7074267124921658
coef_bike_ASC_bike_work,0.8710921430245333
coef_bike_ASC_sov_work,0.046255400576237414
coef_bike_ASC_sr2_work,0.019976940285031382
coef_bike_ASC_sr3p_work,0.029313071160409834
coef_bike_ASC_walk_work,0.0333624449537881
coef_drive_transit_ASC_drive_transit_work,0.44923253968513555
coef_drive_transit_ASC_sov_work,0.035293013084369676
coef_drive_transit_ASC_sr2_work,0.03279236272945613
coef_drive_transit_ASC_sr3p_work,0.038144064870740776
coef_drive_transit_ASC_walk_work,0.036112680481186404
coef_drive_transit_ASC_walk_transit_work,0.40842533914911144
coef_sov_ASC_sov_work,0.9904869664434668
coef_sov_ASC_walk_work,0.009513033556533176
coef_sr2_ASC_sov_work,0.34967520504078553
coef_sr2_ASC_sr2_work,0.6354921779589368
coef_sr2_ASC_walk_work,0.01483261700027768
coef_sr3p_ASC_sov_work,0.2347236630001669
coef_sr3p_ASC_sr2_work,0.11325219716274887
coef_sr3p_ASC_sr3p_work,0.635843388584697
coef_sr3p_ASC_walk_work,0.016180751252387143
coef_walk_ASC_walk_work,1
coef_walk_transit_ASC_bike_work,0.037385518006956324
coef_walk_transit_ASC_sov_work,0.10807023722872752
coef_walk_transit_ASC_sr2_work,0.07554732151322946
coef_walk_transit_ASC_sr3p_work,0.05386595381259464
coef_walk_transit_ASC_walk_work,0.04960379044445902
coef_walk_transit_ASC_walk_transit_work,0.6755271789940331
