coefficient_name,value,constrain,value
sr3p_ASC_auto_sufficient_shopping,0.588647126114124,F,-0.077571295
sr3p_ASC_auto_sufficient_social,1.17239728111412,F,0.50617886
sr3p_ASC_auto_sufficient_univ,-1.23849137888588,F,-1.9047098
sr3p_ASC_auto_sufficient_work,-1.4699702,F,-1.4699702
sr3p_ASC_auto_sufficient_atwork,-0.985955578885877,F,-1.652174
walk_transit_ASC_no_auto_eatout,-0.0431663985949231,F,2.5936368
walk_transit_ASC_no_auto_escort,-4.85401129859492,F,-2.2172081
walk_transit_ASC_no_auto_othdiscr,-0.393024698594923,F,2.2437785
walk_transit_ASC_no_auto_othmaint,-0.0724575985949234,F,2.5643456
walk_transit_ASC_no_auto_school,18.7469458014051,F,21.383749
walk_transit_ASC_no_auto_shopping,-0.530055598594923,F,2.1067476
walk_transit_ASC_no_auto_social,-1.25533809859492,F,1.3814651
walk_transit_ASC_no_auto_univ,6.14923380140508,F,8.786037
walk_transit_ASC_no_auto_work,2.39861340140508,F,5.0354166
walk_transit_ASC_no_auto_atwork,0.0673844014050768,F,2.7041876
walk_transit_ASC_auto_deficient_eatout,-2.67576643859492,F,-0.03896324
walk_transit_ASC_auto_deficient_escort,-7.59750719859492,F,-4.960704
walk_transit_ASC_auto_deficient_othdiscr,-1.68371479859492,F,0.9530884
walk_transit_ASC_auto_deficient_othmaint,-5.69652899859492,F,-3.0597258
walk_transit_ASC_auto_deficient_school,1.48390480140508,F,4.120708
walk_transit_ASC_auto_deficient_shopping,-3.48446009859492,F,-0.8476569
walk_transit_ASC_auto_deficient_social,-1.66235832859492,F,0.97444487
walk_transit_ASC_auto_deficient_univ,0.499452301405077,F,3.1362555
walk_transit_ASC_auto_deficient_work,-1.98377464859492,F,0.65302855
walk_transit_ASC_auto_deficient_atwork,-5.63563229859492,F,-2.9988291
walk_transit_ASC_auto_sufficient_eatout,-3.74949379859492,F,-1.1126906
walk_transit_ASC_auto_sufficient_escort,-7.57165019859492,F,-4.934847
walk_transit_ASC_auto_sufficient_othdiscr,-3.44317112859492,F,-0.80636793
walk_transit_ASC_auto_sufficient_othmaint,-4.18392039859492,F,-1.5471172
walk_transit_ASC_auto_sufficient_school,-1.89089445859492,F,0.74590874
walk_transit_ASC_auto_sufficient_shopping,-4.84048299859492,F,-2.2036798
walk_transit_ASC_auto_sufficient_social,-2.98217909859492,F,-0.3453759
walk_transit_ASC_auto_sufficient_univ,-2.16368689859492,F,0.4731163
walk_transit_ASC_auto_sufficient_work,-3.52845389859492,F,-0.8916507
walk_transit_ASC_auto_sufficient_atwork,-6.03783019859492,F,-3.401027
drive_transit_ASC_no_auto_all,-1.40539051565206,F,0
drive_transit_ASC_auto_deficient_eatout,-0.805584415652055,F,0.5998061
drive_transit_ASC_auto_deficient_escort,-2.55909721565206,F,-1.1537067
drive_transit_ASC_auto_deficient_othdiscr,-1.08545971565206,F,0.3199308
drive_transit_ASC_auto_deficient_othmaint,-1.70482279565206,F,-0.29943228
drive_transit_ASC_auto_deficient_school,3.91987488434795,F,5.3252654
drive_transit_ASC_auto_deficient_shopping,-1.82388229565206,F,-0.41849178
drive_transit_ASC_auto_deficient_social,0.157328984347945,F,1.5627195
drive_transit_ASC_auto_deficient_univ,0.444727084347945,F,1.8501176
drive_transit_ASC_auto_deficient_work,-1.30457484565206,F,0.10081567
drive_transit_ASC_auto_deficient_atwork,-1000.22499051565,F,-998.8196
drive_transit_ASC_auto_sufficient_eatout,-2.37490637565206,F,-0.96951586
drive_transit_ASC_auto_sufficient_escort,-6.00681521565206,F,-4.6014247
drive_transit_ASC_auto_sufficient_othdiscr,-1.78398221565206,F,-0.3785917
drive_transit_ASC_auto_sufficient_othmaint,-4.03033831565206,F,-2.6249478
drive_transit_ASC_auto_sufficient_school,-0.0040405156520551,F,1.40135
drive_transit_ASC_auto_sufficient_shopping,-3.57728431565206,F,-2.1718938
drive_transit_ASC_auto_sufficient_social,-2.02124626565206,F,-0.61585575
drive_transit_ASC_auto_sufficient_univ,-0.0466152156520552,F,1.3587753
drive_transit_ASC_auto_sufficient_work,-2.40993641565206,F,-1.0045459
drive_transit_ASC_auto_sufficient_atwork,-1000.62005051565,F,-999.21466
taxi_ASC_no_auto_eatout_othdiscr_social,-1.0077,F,0.9923
taxi_ASC_no_auto_escort_othmaint_shopping,-0.1061,F,1.8939
taxi_ASC_no_auto_school_univ,-7,T,-7
taxi_ASC_no_auto_work,2.7291,F,4.7291
taxi_ASC_no_auto_atwork,2.1021,F,4.1021
taxi_ASC_auto_deficient_eatout_othdiscr_social,-5.1317,F,-3.1317
taxi_ASC_auto_deficient_escort_othmaint_shopping,-1.8234,F,0.1766
taxi_ASC_auto_deficient_school,-2.3338,F,-0.3338
taxi_ASC_auto_deficient_univ,2.2492,F,4.2492
taxi_ASC_auto_deficient_work,-3.4766,F,-1.4766
taxi_ASC_auto_deficient_atwork,-6.4046,F,-4.4046
taxi_ASC_auto_sufficient_eatout_othdiscr_social,-5.0374,F,-3.0374
taxi_ASC_auto_sufficient_escort_othmaint_shopping,-3.8055,F,-1.8055
taxi_ASC_auto_sufficient_school,-4.4294,F,-2.4294
taxi_ASC_auto_sufficient_univ,-2.3131,F,-0.3131
taxi_ASC_auto_sufficient_work,-6.8509,F,-4.8509
taxi_ASC_auto_sufficient_atwork,-4.8804,F,-2.8804
tnc_single_ASC_no_auto_eatout_othdiscr_social,-0.3148,F,1.6852
tnc_single_ASC_no_auto_escort_othmaint_shopping,-0.1395,F,1.8605
tnc_single_ASC_no_auto_school,-7,T,-7
tnc_single_ASC_no_auto_univ,-4.519,F,-2.519
tnc_single_ASC_no_auto_work,3.7855,F,5.7855
tnc_single_ASC_no_auto_atwork,2.4982,F,4.4982
